a,b,c,d
3,30,13,5
4,91,7,3
15,100,54,28
46,46,31,40
14,75,61,42
75,41,24,58
92,2,70,19
29,96,90,19
81,21,65,4
40,39,28,74
45,88,81,51
9,63,90,59
0,39,52,72
25,38,45,85
91,65,9,8
52,21,60,26
16,7,16,60
82,27,74,31
28,93,30,91
86,44,53,25
39,11,81,85
0,1,100,43
13,66,91,53
78,79,39,42
19,89,38,63
46,17,7,1
64,27,93,37
77,25,14,65
71,88,67,24
25,70,46,35
37,42,52,56
80,70,76,78
76,21,100,45
26,37,9,32
83,0,4,36
43,26,32,98
25,80,53,57
82,89,80,67
95,81,38,2
95,70,10,84
24,61,43,12
40,48,1,5
73,90,46,51
47,15,78,55
0,82,65,70
72,10,76,22
6,49,99,73
72,77,87,81
36,54,24,70
1,77,27,86
48,25,8,21
10,4,8,23
83,83,53,21
40,80,11,80
100,9,41,44
50,63,17,61
81,16,90,71
66,68,25,72
57,62,87,62
14,48,80,70
52,71,31,74
13,59,91,93
92,51,81,8
64,45,20,52
43,68,38,99
75,28,9,38
2,59,48,65
51,98,69,14
90,27,84,37
74,98,21,80
13,58,22,16
81,88,1,14
25,63,2,28
15,59,60,28
43,61,39,39
63,39,51,47
71,8,84,67
35,30,22,96
67,97,13,96
46,38,93,56
30,94,71,77
41,71,68,2
12,38,43,50
64,84,54,46
4,96,18,39
46,10,12,23
25,57,15,47
47,100,99,89
9,72,40,20
50,15,62,96
4,52,37,58
35,51,61,57
7,47,52,29
76,23,26,50
8,16,3,88
80,28,99,83
37,27,21,81
80,8,15,86
98,37,73,32
68,100,11,85
